State,Last_Update,Confirmed
Connecticut,2020-06-03,42979
Delaware,2020-06-03,9685
Diamond Princess,2020-06-03,49
District of Columbia,2020-06-03,8886
Florida,2020-06-03,57447
Georgia,2020-06-03,48207
Grand Princess,2020-06-03,103
Guam,2020-06-03,175
Hawaii,2020-06-03,653
Idaho,2020-06-03,2933
Illinois,2020-06-03,122848
Indiana,2020-06-03,35237
Iowa,2020-06-03,20019
Kansas,2020-06-03,9965
Kentucky,2020-06-03,10185
Louisiana,2020-06-03,40746
Maine,2020-06-03,2377
Maryland,2020-06-03,54175
Massachusetts,2020-06-03,101163
Michigan,2020-06-03,57731
Minnesota,2020-06-03,25508
Mississippi,2020-06-03,16041
Missouri,2020-06-03,14015
Montana,2020-06-03,523
Nebraska,2020-06-03,14616
Nevada,2020-06-03,8858
New Hampshire,2020-06-03,4749
New Jersey,2020-06-03,161545
New Mexico,2020-06-03,8024
New York,2020-06-03,373040
North Carolina,2020-06-03,30023
North Dakota,2020-06-03,2646
Northern Mariana Islands,2020-06-03,23
Ohio,2020-06-03,36350
Oklahoma,2020-06-03,6692
Oregon,2020-06-03,4335
Pennsylvania,2020-06-03,77225
Puerto Rico,2020-06-03,3935
Rhode Island,2020-06-03,15112
South Carolina,2020-06-03,12415
South Dakota,2020-06-03,5067
Tennessee,2020-06-03,24342
Texas,2020-06-03,67342
Utah,2020-06-03,10202
Vermont,2020-06-03,988
Virgin Islands,2020-06-03,70
Virginia,2020-06-03,46239
Washington,2020-06-03,22157
West Virginia,2020-06-03,2056
Wisconsin,2020-06-03,18917
Wyoming,2020-06-03,912
Province_State,Last_Update,Confirmed
Alabama,2020-06-04,18954
Alaska,2020-06-04,504
American Samoa,2020-06-04,0
Arizona,2020-06-04,22356
Arkansas,2020-06-04,8067
California,2020-06-04,119348
Colorado,2020-06-04,27060
Connecticut,2020-06-04,43091
Delaware,2020-06-04,9712
Diamond Princess,2020-06-04,49
District of Columbia,2020-06-04,9016
Florida,2020-06-04,58764
Georgia,2020-06-04,48894
Grand Princess,2020-06-04,103
Guam,2020-06-04,177
Hawaii,2020-06-04,653
Idaho,2020-06-04,2933
Illinois,2020-06-04,123830
Indiana,2020-06-04,35712
Iowa,2020-06-04,20300
Kansas,2020-06-04,10092
Kentucky,2020-06-04,10410
Louisiana,2020-06-04,41133
Maine,2020-06-04,2418
Maryland,2020-06-04,54982
Massachusetts,2020-06-04,101592
Michigan,2020-06-04,58035
Minnesota,2020-06-04,25870
Mississippi,2020-06-04,16322
Missouri,2020-06-04,14189
Montana,2020-06-04,525
Nebraska,2020-06-04,14885
Nevada,2020-06-04,8951
New Hampshire,2020-06-04,4795
New Jersey,2020-06-04,162068
New Mexico,2020-06-04,8140
New York,2020-06-04,374085
North Carolina,2020-06-04,31276
North Dakota,2020-06-04,2679
Northern Mariana Islands,2020-06-04,24
Ohio,2020-06-04,36792
Oklahoma,2020-06-04,6805
Oregon,2020-06-04,4399
Pennsylvania,2020-06-04,77780
Puerto Rico,2020-06-04,4023
Rhode Island,2020-06-04,15219
South Carolina,2020-06-04,12415
South Dakota,2020-06-04,5162
Tennessee,2020-06-04,24833
Texas,2020-06-04,68912
Utah,2020-06-04,10497
Vermont,2020-06-04,990
Virgin Islands,2020-06-04,70
Virginia,2020-06-04,46905
Washington,2020-06-04,22484
West Virginia,2020-06-04,2077
Wisconsin,2020-06-04,19400
Wyoming,2020-06-04,915
Province_State,Last_Update,Confirmed
Alabama,2020-06-05,19262
Alaska,2020-06-05,512
American Samoa,2020-06-05,0
Arizona,2020-06-05,22886
Arkansas,2020-06-05,8425
California,2020-06-05,122168
Colorado,2020-06-05,27360
Connecticut,2020-06-05,43239
Delaware,2020-06-05,9746
Diamond Princess,2020-06-05,49
District of Columbia,2020-06-05,9120
Florida,2020-06-05,60183
Georgia,2020-06-05,49859
Grand Princess,2020-06-05,103
Guam,2020-06-05,179
Hawaii,2020-06-05,655
Idaho,2020-06-05,2990
Illinois,2020-06-05,124759
Indiana,2020-06-05,36096
Iowa,2020-06-05,20806
Kansas,2020-06-05,10167
Kentucky,2020-06-05,10705
Louisiana,2020-06-05,41562
Maine,2020-06-05,2446
Maryland,2020-06-05,55858
Massachusetts,2020-06-05,102063
Michigan,2020-06-05,58241
Minnesota,2020-06-05,26273
Mississippi,2020-06-05,16560
Missouri,2020-06-05,14438
Montana,2020-06-05,539
Nebraska,2020-06-05,15139
Nevada,2020-06-05,9129
New Hampshire,2020-06-05,4876
New Jersey,2020-06-05,162530
New Mexico,2020-06-05,8353
New York,2020-06-05,375133
North Carolina,2020-06-05,32075
North Dakota,2020-06-05,2706
Northern Mariana Islands,2020-06-05,26
Ohio,2020-06-05,37282
Oklahoma,2020-06-05,6907
Oregon,2020-06-05,4474
Pennsylvania,2020-06-05,78335
Puerto Rico,2020-06-05,4508
Rhode Island,2020-06-05,15325
South Carolina,2020-06-05,12415
South Dakota,2020-06-05,5247
Tennessee,2020-06-05,25190
Texas,2020-06-05,70589
Utah,2020-06-05,10813
Vermont,2020-06-05,1026
Virgin Islands,2020-06-05,71
Virginia,2020-06-05,47856
Washington,2020-06-05,22729
West Virginia,2020-06-05,2102
Wisconsin,2020-06-05,19892
Wyoming,2020-06-05,921
Province_State,Last_Update,Confirmed
Alabama,2020-06-06,19910
Alaska,2020-06-06,523
American Samoa,2020-06-06,0
Arizona,2020-06-06,24439
Arkansas,2020-06-06,8651
California,2020-06-06,125738
Colorado,2020-06-06,27615
Connecticut,2020-06-06,43460
Delaware,2020-06-06,9773
Diamond Princess,2020-06-06,49
District of Columbia,2020-06-06,9199
Florida,2020-06-06,61488
Georgia,2020-06-06,50621
Grand Princess,2020-06-06,103
Guam,2020-06-06,179
Hawaii,2020-06-06,664
Idaho,2020-06-06,3111
Illinois,2020-06-06,125915
Indiana,2020-06-06,36578
Iowa,2020-06-06,21154
Kansas,2020-06-06,10306
Kentucky,2020-06-06,10977
Louisiana,2020-06-06,41989
Maine,2020-06-06,2482
Maryland,2020-06-06,56770
Massachusetts,2020-06-06,102557
Michigan,2020-06-06,63777
Minnesota,2020-06-06,26980
Mississippi,2020-06-06,16769
Missouri,2020-06-06,14572
Montana,2020-06-06,541
Nebraska,2020-06-06,15406
Nevada,2020-06-06,9309
New Hampshire,2020-06-06,4953
New Jersey,2020-06-06,163336
New Mexico,2020-06-06,8672
New York,2020-06-06,376208
North Carolina,2020-06-06,33295
North Dakota,2020-06-06,2745
Northern Mariana Islands,2020-06-06,26
Ohio,2020-06-06,37758
Oklahoma,2020-06-06,7007
Oregon,2020-06-06,4570
Pennsylvania,2020-06-06,78815
Puerto Rico,2020-06-06,4620
Rhode Island,2020-06-06,15441
South Carolina,2020-06-06,13453
South Dakota,2020-06-06,5277
Tennessee,2020-06-06,25664
Texas,2020-06-06,72594
Utah,2020-06-06,11252
Vermont,2020-06-06,1027
Virgin Islands,2020-06-06,71
Virginia,2020-06-06,48532
Washington,2020-06-06,22993
West Virginia,2020-06-06,2119
Wisconsin,2020-06-06,20249
Wyoming,2020-06-06,933
Province_State,Last_Update,Confirmed
Alabama,2020-06-07,20355
Alaska,2020-06-07,535
American Samoa,2020-06-07,0
Arizona,2020-06-07,25451
Arkansas,2020-06-07,9101
California,2020-06-07,128593
Colorado,2020-06-07,27848
Connecticut,2020-06-07,43818
Delaware,2020-06-07,9845
Diamond Princess,2020-06-07,49
District of Columbia,2020-06-07,9269
Florida,2020-06-07,62758
Georgia,2020-06-07,51359
Grand Princess,2020-06-07,103
Guam,2020-06-07,179
Hawaii,2020-06-07,673
Idaho,2020-06-07,3139
Illinois,2020-06-07,126890
Indiana,2020-06-07,36997
Iowa,2020-06-07,21478
Kansas,2020-06-07,10361
Kentucky,2020-06-07,11287
Louisiana,2020-06-07,42486
Maine,2020-06-07,2524
Maryland,2020-06-07,57482
Massachusetts,2020-06-07,103132
Michigan,2020-06-07,64229
Minnesota,2020-06-07,27501
Mississippi,2020-06-07,17039
Missouri,2020-06-07,14951
Montana,2020-06-07,540
Nebraska,2020-06-07,15572
Nevada,2020-06-07,9491
New Hampshire,2020-06-07,5019
New Jersey,2020-06-07,163893
New Mexico,2020-06-07,8800
New York,2020-06-07,377316
North Carolina,2020-06-07,34718
North Dakota,2020-06-07,2816
Northern Mariana Islands,2020-06-07,26
Ohio,2020-06-07,38111
Oklahoma,2020-06-07,7059
Oregon,2020-06-07,4570
Pennsylvania,2020-06-07,79505
Puerto Rico,2020-06-07,4915
Rhode Island,2020-06-07,15441
South Carolina,2020-06-07,13453
South Dakota,2020-06-07,5367
Tennessee,2020-06-07,26177
Texas,2020-06-07,74529
Utah,2020-06-07,11798
Vermont,2020-06-07,1046
Virgin Islands,2020-06-07,71
Virginia,2020-06-07,49397
Washington,2020-06-07,23442
West Virginia,2020-06-07,2136
Wisconsin,2020-06-07,20571
Wyoming,2020-06-07,939
Province_State,Last_Update,Confirmed
Alabama,2020-06-08,20777
Alaska,2020-06-08,543
American Samoa,2020-06-08,0
Arizona,2020-06-08,26989
Arkansas,2020-06-08,9426
California,2020-06-08,130615
Colorado,2020-06-08,28001
Connecticut,2020-06-08,43968
Delaware,2020-06-08,9942
Diamond Princess,2020-06-08,49
District of Columbia,2020-06-08,9332
Florida,2020-06-08,63938
Georgia,2020-06-08,51898
Grand Princess,2020-06-08,103
Guam,2020-06-08,179
Hawaii,2020-06-08,675
Idaho,2020-06-08,3139
Illinois,2020-06-08,127757
Indiana,2020-06-08,37397
Iowa,2020-06-08,21712
Kansas,2020-06-08,10406
Kentucky,2020-06-08,11287
Louisiana,2020-06-08,42816
Maine,2020-06-08,2570
Maryland,2020-06-08,57973
Massachusetts,2020-06-08,103436
Michigan,2020-06-08,64648
Minnesota,2020-06-08,27886
Mississippi,2020-06-08,17270
Missouri,2020-06-08,15023
Montana,2020-06-08,545
Nebraska,2020-06-08,15664
Nevada,2020-06-08,9669
New Hampshire,2020-06-08,5043
New Jersey,2020-06-08,164164
New Mexico,2020-06-08,8940
New York,2020-06-08,378097
North Carolina,2020-06-08,35625
North Dakota,2020-06-08,2861
Northern Mariana Islands,2020-06-08,27
Ohio,2020-06-08,38476
Oklahoma,2020-06-08,7150
Oregon,2020-06-08,4662
Pennsylvania,2020-06-08,79908
Puerto Rico,2020-06-08,4985
Rhode Island,2020-06-08,15441
South Carolina,2020-06-08,14286
South Dakota,2020-06-08,5438
Tennessee,2020-06-08,26493
Texas,2020-06-08,75443
Utah,2020-06-08,12066
Vermont,2020-06-08,1063
Virgin Islands,2020-06-08,71
Virginia,2020-06-08,50681
Washington,2020-06-08,23729
West Virginia,2020-06-08,2144
Wisconsin,2020-06-08,20835
Wyoming,2020-06-08,947
Province_State,Last_Update,Confirmed
Alabama,2020-06-09,21268
Alaska,2020-06-09,562
American Samoa,2020-06-09,0
Arizona,2020-06-09,27678
Arkansas,2020-06-09,9740
California,2020-06-09,133816
Colorado,2020-06-09,28183
Connecticut,2020-06-09,44092
Delaware,2020-06-09,9972
Diamond Princess,2020-06-09,49
District of Columbia,2020-06-09,9389
Florida,2020-06-09,64904
Georgia,2020-06-09,52497
Grand Princess,2020-06-09,103
Guam,2020-06-09,179
Hawaii,2020-06-09,676
Idaho,2020-06-09,3189
Illinois,2020-06-09,128415
Indiana,2020-06-09,37623
Iowa,2020-06-09,22007
Kansas,2020-06-09,10544
Kentucky,2020-06-09,11476
Louisiana,2020-06-09,43050
Maine,2020-06-09,2588
Maryland,2020-06-09,58404
Massachusetts,2020-06-09,103626
Michigan,2020-06-09,64944
Minnesota,2020-06-09,28224
Mississippi,2020-06-09,17768
Missouri,2020-06-09,15158
Montana,2020-06-09,548
Nebraska,2020-06-09,15786
Nevada,2020-06-09,9816
New Hampshire,2020-06-09,5079
New Jersey,2020-06-09,164497
New Mexico,2020-06-09,9062
New York,2020-06-09,378799
North Carolina,2020-06-09,36517
North Dakota,2020-06-09,2880
Northern Mariana Islands,2020-06-09,28
Ohio,2020-06-09,38837
Oklahoma,2020-06-09,7205
Oregon,2020-06-09,4922
Pennsylvania,2020-06-09,80339
Puerto Rico,2020-06-09,5046
Rhode Island,2020-06-09,15642
South Carolina,2020-06-09,14800
South Dakota,2020-06-09,5471
Tennessee,2020-06-09,27005
Texas,2020-06-09,76494
Utah,2020-06-09,12322
Vermont,2020-06-09,1075
Virgin Islands,2020-06-09,71
Virginia,2020-06-09,51251
Washington,2020-06-09,24041
West Virginia,2020-06-09,2161
Wisconsin,2020-06-09,21038
Wyoming,2020-06-09,960
Province_State,Last_Update,Confirmed
Alabama,2020-06-10,21834
Alaska,2020-06-10,572
American Samoa,2020-06-10,0
Arizona,2020-06-10,28296
Arkansas,2020-06-10,10080
California,2020-06-10,136641
Colorado,2020-06-10,28347
Connecticut,2020-06-10,44179
Delaware,2020-06-10,10020
Diamond Princess,2020-06-10,49
District of Columbia,2020-06-10,9474
Florida,2020-06-10,66000
Georgia,2020-06-10,53249
Grand Princess,2020-06-10,103
Guam,2020-06-10,180
Hawaii,2020-06-10,682
Idaho,2020-06-10,3221
Illinois,2020-06-10,129212
Indiana,2020-06-10,38033
Iowa,2020-06-10,22237
Kansas,2020-06-10,10609
Kentucky,2020-06-10,11707
Louisiana,2020-06-10,43612
Maine,2020-06-10,2606
Maryland,2020-06-10,58904
Massachusetts,2020-06-10,103889
Michigan,2020-06-10,64998
Minnesota,2020-06-10,28523
Mississippi,2020-06-10,18123
Missouri,2020-06-10,15352
Montana,2020-06-10,554
Nebraska,2020-06-10,15918
Nevada,2020-06-10,10045
New Hampshire,2020-06-10,5079
New Jersey,2020-06-10,164796
New Mexico,2020-06-10,9105
New York,2020-06-10,379482
North Carolina,2020-06-10,37227
North Dakota,2020-06-10,2901
Northern Mariana Islands,2020-06-10,30
Ohio,2020-06-10,39162
Oklahoma,2020-06-10,7363
Oregon,2020-06-10,4988
Pennsylvania,2020-06-10,80870
Puerto Rico,2020-06-10,5185
Rhode Island,2020-06-10,15691
South Carolina,2020-06-10,15228
South Dakota,2020-06-10,5523
Tennessee,2020-06-10,27575
Texas,2020-06-10,78274
Utah,2020-06-10,12559
Vermont,2020-06-10,1084
Virgin Islands,2020-06-10,71
Virginia,2020-06-10,51738
Washington,2020-06-10,24354
West Virginia,2020-06-10,2169
Wisconsin,2020-06-10,21308
Wyoming,2020-06-10,970
Province_State,Last_Update,Confirmed
Alabama,2020-06-11,22659
Alaska,2020-06-11,592
American Samoa,2020-06-11,0
Arizona,2020-06-11,29852
Arkansas,2020-06-11,10368
California,2020-06-11,139715
Colorado,2020-06-11,28499
Connecticut,2020-06-11,44347
Delaware,2020-06-11,10056
Diamond Princess,2020-06-11,49
District of Columbia,2020-06-11,9537
Florida,2020-06-11,67371
Georgia,2020-06-11,53980
Grand Princess,2020-06-11,103
Guam,2020-06-11,180
Hawaii,2020-06-11,685
Idaho,2020-06-11,3260
Illinois,2020-06-11,129837
Indiana,2020-06-11,38337
Iowa,2020-06-11,22626
Kansas,2020-06-11,10750
Kentucky,2020-06-11,11883
Louisiana,2020-06-11,44030
Maine,2020-06-11,2637
Maryland,2020-06-11,59465
Massachusetts,2020-06-11,104156
Michigan,2020-06-11,65182
Minnesota,2020-06-11,28869
Mississippi,2020-06-11,18483
Missouri,2020-06-11,15512
Montana,2020-06-11,561
Nebraska,2020-06-11,16058
Nevada,2020-06-11,10218
New Hampshire,2020-06-11,5178
New Jersey,2020-06-11,165346
New Mexico,2020-06-11,9250
New York,2020-06-11,380156
North Carolina,2020-06-11,38473
North Dakota,2020-06-11,2941
Northern Mariana Islands,2020-06-11,30
Ohio,2020-06-11,39575
Oklahoma,2020-06-11,7483
Oregon,2020-06-11,5060
Pennsylvania,2020-06-11,81316
Puerto Rico,2020-06-11,5329
Rhode Island,2020-06-11,15756
South Carolina,2020-06-11,15759
South Dakota,2020-06-11,5604
Tennessee,2020-06-11,27930
Texas,2020-06-11,80836
Utah,2020-06-11,12864
Vermont,2020-06-11,1095
Virgin Islands,2020-06-11,72
Virginia,2020-06-11,52177
Washington,2020-06-11,24354
West Virginia,2020-06-11,2194
Wisconsin,2020-06-11,21593
Wyoming,2020-06-11,980
Province_State,Last_Update,Confirmed
Alabama,2020-06-12,23370
Alaska,2020-06-12,609
American Samoa,2020-06-12,0
Arizona,2020-06-12,31267
Arkansas,2020-06-12,10816
California,2020-06-12,143377
Colorado,2020-06-12,28647
Connecticut,2020-06-12,44461
Delaware,2020-06-12,10106
Diamond Princess,2020-06-12,49
District of Columbia,2020-06-12,9589
Florida,2020-06-12,69069
Georgia,2020-06-12,54973
Grand Princess,2020-06-12,103
Guam,2020-06-12,183
Hawaii,2020-06-12,692
Idaho,2020-06-12,3260
Illinois,2020-06-12,130603
Indiana,2020-06-12,38748
Iowa,2020-06-12,22973
Kansas,2020-06-12,10823
Kentucky,2020-06-12,11945
Louisiana,2020-06-12,44472
Maine,2020-06-12,2667
Maryland,2020-06-12,60197
Massachusetts,2020-06-12,104667
Michigan,2020-06-12,65449
Minnesota,2020-06-12,29316
Mississippi,2020-06-12,18483
Missouri,2020-06-12,15699
Montana,2020-06-12,563
Nebraska,2020-06-12,16315
Nevada,2020-06-12,10473
New Hampshire,2020-06-12,5209
New Jersey,2020-06-12,165816
New Mexico,2020-06-12,9367
New York,2020-06-12,380892
North Carolina,2020-06-12,39584
North Dakota,2020-06-12,2980
Northern Mariana Islands,2020-06-12,30
Ohio,2020-06-12,40004
Oklahoma,2020-06-12,7626
Oregon,2020-06-12,5237
Pennsylvania,2020-06-12,81848
Puerto Rico,2020-06-12,5352
Rhode Island,2020-06-12,15862
South Carolina,2020-06-12,16441
South Dakota,2020-06-12,5665
Tennessee,2020-06-12,28340
Texas,2020-06-12,82717
Utah,2020-06-12,13252
Vermont,2020-06-12,1110
Virgin Islands,2020-06-12,72
Virginia,2020-06-12,52647
Washington,2020-06-12,24779
West Virginia,2020-06-12,2217
Wisconsin,2020-06-12,21926
Wyoming,2020-06-12,1009
Province_State,Last_Update,Confirmed
Alabama,2020-06-13,24405
Alaska,2020-06-13,624
American Samoa,2020-06-13,0
Arizona,2020-06-13,33039
Arkansas,2020-06-13,11547
California,2020-06-13,146659
Colorado,2020-06-13,28822
Connecticut,2020-06-13,44689
Delaware,2020-06-13,10173
Diamond Princess,2020-06-13,49
District of Columbia,2020-06-13,9654
Florida,2020-06-13,70971
Georgia,2020-06-13,55783
Grand Princess,2020-06-13,103
Guam,2020-06-13,183
Hawaii,2020-06-13,706
Idaho,2020-06-13,3353
Illinois,2020-06-13,131198
Indiana,2020-06-13,39146
Iowa,2020-06-13,23350
Kansas,2020-06-13,10973
Kentucky,2020-06-13,12166
Louisiana,2020-06-13,44995
Maine,2020-06-13,2721
Maryland,2020-06-13,60613
Massachusetts,2020-06-13,105059
Michigan,2020-06-13,65672
Minnesota,2020-06-13,29795
Mississippi,2020-06-13,19091
Missouri,2020-06-13,15997
Montana,2020-06-13,573
Nebraska,2020-06-13,16522
Nevada,2020-06-13,10704
New Hampshire,2020-06-13,5251
New Jersey,2020-06-13,166164
New Mexico,2020-06-13,9526
New York,2020-06-13,381714
North Carolina,2020-06-13,41417
North Dakota,2020-06-13,3016
Northern Mariana Islands,2020-06-13,30
Ohio,2020-06-13,40424
Oklahoma,2020-06-13,7849
Oregon,2020-06-13,5377
Pennsylvania,2020-06-13,82481
Puerto Rico,2020-06-13,5536
Rhode Island,2020-06-13,15947
South Carolina,2020-06-13,17170
South Dakota,2020-06-13,5742
Tennessee,2020-06-13,29118
Texas,2020-06-13,84993
Utah,2020-06-13,13577
Vermont,2020-06-13,1119
Virgin Islands,2020-06-13,72
Virginia,2020-06-13,53211
Washington,2020-06-13,25171
West Virginia,2020-06-13,2249
Wisconsin,2020-06-13,22246
Wyoming,2020-06-13,1027
Province_State,Last_Update,Confirmed
Alabama,2020-06-14,25364
Alaska,2020-06-14,653
American Samoa,2020-06-14,0
Arizona,2020-06-14,34660
Arkansas,2020-06-14,12095
California,2020-06-14,150018
Colorado,2020-06-14,29017
Connecticut,2020-06-14,44994
Delaware,2020-06-14,10229
Diamond Princess,2020-06-14,49
District of Columbia,2020-06-14,9709
Florida,2020-06-14,73552
Georgia,2020-06-14,56804
Grand Princess,2020-06-14,103
Guam,2020-06-14,183
Hawaii,2020-06-14,723
Idaho,2020-06-14,3353
Illinois,2020-06-14,131871
Indiana,2020-06-14,39543
Iowa,2020-06-14,23717
Kansas,2020-06-14,11020
Kentucky,2020-06-14,12445
Louisiana,2020-06-14,46283
Maine,2020-06-14,2757
Maryland,2020-06-14,61305
Massachusetts,2020-06-14,105395
Michigan,2020-06-14,65836
Minnesota,2020-06-14,30172
Mississippi,2020-06-14,19348
Missouri,2020-06-14,16232
Montana,2020-06-14,588
Nebraska,2020-06-14,16640
Nevada,2020-06-14,10997
New Hampshire,2020-06-14,5299
New Jersey,2020-06-14,166605
New Mexico,2020-06-14,9621
New York,2020-06-14,382630
North Carolina,2020-06-14,42845
North Dakota,2020-06-14,3058
Northern Mariana Islands,2020-06-14,30
Ohio,2020-06-14,40851
Oklahoma,2020-06-14,8073
Oregon,2020-06-14,5377
Pennsylvania,2020-06-14,82944
Puerto Rico,2020-06-14,5690
Rhode Island,2020-06-14,15947
South Carolina,2020-06-14,17955
South Dakota,2020-06-14,5833
Tennessee,2020-06-14,29549
Texas,2020-06-14,87007
Utah,2020-06-14,13981
Vermont,2020-06-14,1125
Virgin Islands,2020-06-14,72
Virginia,2020-06-14,53869
Washington,2020-06-14,25538
West Virginia,2020-06-14,2274
Wisconsin,2020-06-14,22518
Wyoming,2020-06-14,1050
Province_State,Last_Update,Confirmed
Alabama,2020-06-15,26182
Alaska,2020-06-15,660
American Samoa,2020-06-15,0
Arizona,2020-06-15,35706
Arkansas,2020-06-15,12501
California,2020-06-15,152300
Colorado,2020-06-15,29130
Connecticut,2020-06-15,45088
Delaware,2020-06-15,10264
Diamond Princess,2020-06-15,49
District of Columbia,2020-06-15,9767
Florida,2020-06-15,75568
Georgia,2020-06-15,57681
Grand Princess,2020-06-15,103
Guam,2020-06-15,183
Hawaii,2020-06-15,728
Idaho,2020-06-15,3399
Illinois,2020-06-15,132543
Indiana,2020-06-15,39909
Iowa,2020-06-15,23926
Kansas,2020-06-15,11101
Kentucky,2020-06-15,12445
Louisiana,2020-06-15,46619
Maine,2020-06-15,2793
Maryland,2020-06-15,61701
Massachusetts,2020-06-15,105603
Michigan,2020-06-15,66054
Minnesota,2020-06-15,30471
Mississippi,2020-06-15,19516
Missouri,2020-06-15,16262
Montana,2020-06-15,601
Nebraska,2020-06-15,16730
Nevada,2020-06-15,11201
New Hampshire,2020-06-15,5318
New Jersey,2020-06-15,166881
New Mexico,2020-06-15,9723
New York,2020-06-15,383324
North Carolina,2020-06-15,44264
North Dakota,2020-06-15,3080
Northern Mariana Islands,2020-06-15,30
Ohio,2020-06-15,41148
Oklahoma,2020-06-15,8231
Oregon,2020-06-15,5377
Pennsylvania,2020-06-15,83203
Puerto Rico,2020-06-15,5811
Rhode Island,2020-06-15,15947
South Carolina,2020-06-15,18795
South Dakota,2020-06-15,5898
Tennessee,2020-06-15,30343
Texas,2020-06-15,88562
Utah,2020-06-15,14313
Vermont,2020-06-15,1127
Virgin Islands,2020-06-15,72
Virginia,2020-06-15,54506
Washington,2020-06-15,25834
West Virginia,2020-06-15,2290
Wisconsin,2020-06-15,22758
Wyoming,2020-06-15,1060
Province_State,Last_Update,Confirmed
Alabama,2020-06-16,26485
Alaska,2020-06-16,663
American Samoa,2020-06-16,0
Arizona,2020-06-16,36844
Arkansas,2020-06-16,12917
California,2020-06-16,155726
Colorado,2020-06-16,29299
Connecticut,2020-06-16,45235
Delaware,2020-06-16,10340
Diamond Princess,2020-06-16,49
District of Columbia,2020-06-16,9799
Florida,2020-06-16,77326
Georgia,2020-06-16,58414
Grand Princess,2020-06-16,103
Guam,2020-06-16,185
Hawaii,2020-06-16,736
Idaho,2020-06-16,3399
Illinois,2020-06-16,133016
Indiana,2020-06-16,40430
Iowa,2020-06-16,24082
Kansas,2020-06-16,11319
Kentucky,2020-06-16,12647
Louisiana,2020-06-16,47172
Maine,2020-06-16,2810
Maryland,2020-06-16,62032
Massachusetts,2020-06-16,105690
Michigan,2020-06-16,66085
Minnesota,2020-06-16,30693
Mississippi,2020-06-16,19799
Missouri,2020-06-16,16611
Montana,2020-06-16,609
Nebraska,2020-06-16,16851
Nevada,2020-06-16,11315
New Hampshire,2020-06-16,5345
New Jersey,2020-06-16,167103
New Mexico,2020-06-16,9845
New York,2020-06-16,383944
North Carolina,2020-06-16,45114
North Dakota,2020-06-16,3101
Northern Mariana Islands,2020-06-16,30
Ohio,2020-06-16,41576
Oklahoma,2020-06-16,8417
Oregon,2020-06-16,5820
Pennsylvania,2020-06-16,83589
Puerto Rico,2020-06-16,5890
Rhode Island,2020-06-16,16093
South Carolina,2020-06-16,19378
South Dakota,2020-06-16,5928
Tennessee,2020-06-16,31004
Texas,2020-06-16,90265
Utah,2020-06-16,14608
Vermont,2020-06-16,1128
Virgin Islands,2020-06-16,72
Virginia,2020-06-16,54886
Washington,2020-06-16,26158
West Virginia,2020-06-16,2322
Wisconsin,2020-06-16,22932
Wyoming,2020-06-16,1079
Province_State,Last_Update,Confirmed
Alabama,2020-06-17,27034
Alaska,2020-06-17,675
American Samoa,2020-06-17,0
Arizona,2020-06-17,39185
Arkansas,2020-06-17,13191
California,2020-06-17,158961
Colorado,2020-06-17,29442
Connecticut,2020-06-17,45349
Delaware,2020-06-17,10403
Diamond Princess,2020-06-17,49
District of Columbia,2020-06-17,9818
Florida,2020-06-17,80109
Georgia,2020-06-17,59078
Grand Princess,2020-06-17,103
Guam,2020-06-17,186
Hawaii,2020-06-17,736
Idaho,2020-06-17,3462
Illinois,2020-06-17,133639
Indiana,2020-06-17,40786
Iowa,2020-06-17,24179
Kansas,2020-06-17,11411
Kentucky,2020-06-17,12647
Louisiana,2020-06-17,47706
Maine,2020-06-17,2819
Maryland,2020-06-17,62409
Massachusetts,2020-06-17,105885
Michigan,2020-06-17,66269
Minnesota,2020-06-17,30882
Mississippi,2020-06-17,20152
Missouri,2020-06-17,16857
Montana,2020-06-17,614
Nebraska,2020-06-17,17038
Nevada,2020-06-17,11683
New Hampshire,2020-06-17,5364
New Jersey,2020-06-17,167426
New Mexico,2020-06-17,9933
New York,2020-06-17,384575
North Carolina,2020-06-17,45907
North Dakota,2020-06-17,3124
Northern Mariana Islands,2020-06-17,30
Ohio,2020-06-17,42010
Oklahoma,2020-06-17,8645
Oregon,2020-06-17,6098
Pennsylvania,2020-06-17,83978
Puerto Rico,2020-06-17,5951
Rhode Island,2020-06-17,16164
South Carolina,2020-06-17,19990
South Dakota,2020-06-17,5966
Tennessee,2020-06-17,31751
Texas,2020-06-17,93668
Utah,2020-06-17,14937
Vermont,2020-06-17,1131
Virgin Islands,2020-06-17,72
Virginia,2020-06-17,55331
Washington,2020-06-17,26531
West Virginia,2020-06-17,2341
Wisconsin,2020-06-17,23198
Wyoming,2020-06-17,1089
Province_State,Last_Update,Confirmed
Alabama,2020-06-18,27941
Alaska,2020-06-18,695
American Samoa,2020-06-18,0
Arizona,2020-06-18,40937
Arkansas,2020-06-18,13606
California,2020-06-18,162798
Colorado,2020-06-18,29671
Connecticut,2020-06-18,45429
Delaware,2020-06-18,10444
Diamond Princess,2020-06-18,49
District of Columbia,2020-06-18,9847
Florida,2020-06-18,82719
Georgia,2020-06-18,60030
Grand Princess,2020-06-18,103
Guam,2020-06-18,188
Hawaii,2020-06-18,744
Idaho,2020-06-18,3632
Illinois,2020-06-18,134185
Indiana,2020-06-18,41013
Iowa,2020-06-18,24460
Kansas,2020-06-18,11644
Kentucky,2020-06-18,12995
Louisiana,2020-06-18,48634
