place,time,polarity,subjectivity
Alabama,2020-05-01,0.015610651974288337,0.4667584940312213
Alabama,2020-05-02,0.2121938775510204,0.6613605442176871
Alabama,2020-05-03,0.12638888888888888,0.523611111111111
Alabama,2020-05-04,0.13333333333333333,0.6666666666666666
Alabama,2020-05-05,-0.05888888888888889,0.40055555555555555
Alabama,2020-05-06,0.11765734265734265,0.3207292707292707
Alabama,2020-05-07,0.43,0.5563888888888889
Alabama,2020-05-08,0.532121212121212,0.7024242424242424
Alabama,2020-05-09,0.10808080808080808,0.40841750841750846
Alabama,2020-05-11,0.21309523809523806,0.6255952380952381
Alabama,2020-05-12,0.07934446505875077,0.4605132962275819
Alabama,2020-05-13,0.251,0.3506666666666667
Alabama,2020-05-14,0.048863636363636366,0.3434343434343434
Alabama,2020-05-15,0.6,0.5833333333333334
Alabama,2020-05-16,0.2375,0.3895833333333333
Alabama,2020-05-17,0.17537878787878788,0.3893939393939394
Alabama,2020-05-18,0.22402597402597402,0.6134199134199134
Alabama,2020-05-19,0.4,0.7
Alabama,2020-05-20,0.0,0.0
Alabama,2020-05-21,0.23115530303030304,0.5666666666666665
Alabama,2020-05-22,0.25303030303030305,0.33636363636363636
Alabama,2020-05-24,0.17420634920634917,0.3974867724867724
Alabama,2020-05-25,-0.00833333333333334,0.425
Alabama,2020-05-26,0.18192640692640694,0.5961309523809524
Alabama,2020-05-27,0.2711688311688312,0.6879004329004329
Alabama,2020-05-29,0.37083333333333335,0.5833333333333334
Alabama,2020-05-30,0.178939393939394,0.4542424242424242
Alabama,2020-05-31,-0.05238095238095238,0.6476190476190476
Alabama,2020-06-01,-0.007575757575757569,0.6818181818181818
Alabama,2020-06-02,0.0,0.06666666666666667
Alabama,2020-06-03,0.3477272727272727,0.5757575757575758
Alabama,2020-06-04,0.22830578512396696,0.5595041322314049
Alabama,2020-06-05,0.1581439393939394,0.6236742424242424
Alabama,2020-06-06,0.316025641025641,0.5185897435897436
Alabama,2020-06-07,0.2980769230769231,0.41730769230769227
Alabama,2020-06-09,0.1415873015873016,0.3068253968253968
Alabama,2020-06-10,0.2576923076923077,0.5788461538461539
Alabama,2020-06-11,0.8,0.7
Alabama,2020-06-13,0.21727272727272728,0.38
Alabama,2020-06-15,0.2984375,0.4817708333333333
Alabama,2020-06-16,0.14660493827160495,0.42654320987654326
Alabama,2020-06-17,0.25,0.3333333333333333
Alabama,2020-06-18,0.0,0.0
Alabama,2020-06-19,0.10833333333333335,0.46833333333333327
Alabama,2020-06-20,0.10027548209366391,0.49393939393939396
Alabama,2020-06-21,0.509090909090909,0.6636363636363636
Alabama,2020-06-22,0.32199999999999995,0.683
Alabama,2020-06-23,0.20357142857142857,0.6321428571428571
Alabama,2020-06-24,-0.6999999999999998,0.6666666666666666
Alabama,2020-06-25,0.32369146005509636,0.3495867768595042
Alabama,2020-06-26,0.07076648841354724,0.40294117647058825
Alabama,2020-06-27,0.0,0.0
Alabama,2020-06-28,0.02335600907029478,0.4875283446712019
Alabama,2020-06-29,0.08055555555555556,0.3194444444444445
Alabama,2020-06-30,0.11633333333333333,0.5131111111111111
Alabama,2020-07-01,-0.04848484848484846,0.5575757575757577
Alabama,2020-07-02,-0.036458333333333336,0.4427083333333333
Alabama,2020-07-03,0.07390873015873016,0.3487103174603174
Alabama,2020-07-04,0.2285714285714286,0.32857142857142857
Alabama,2020-07-05,0.3296296296296296,0.5129629629629631
Alabama,2020-07-06,0.24325396825396822,0.501984126984127
Alabama,2020-07-07,0.11203823953823953,0.4232792207792208
Alabama,2020-07-08,-0.06805555555555555,0.33194444444444443
Alabama,2020-07-09,0.042592592592592605,0.3172839506172839
Alabama,2020-07-10,-0.023979591836734697,0.4304421768707482
Alabama,2020-07-11,0.12580266955266958,0.3883748196248196
Alabama,2020-07-12,0.06666666666666667,0.3037500000000001
Alabama,2020-07-13,0.02938596491228071,0.42280701754385963
Alabama,2020-07-14,0.2081002331002331,0.3961538461538462
Alabama,2020-07-15,0.16236225895316808,0.5295454545454544
Alabama,2020-07-16,0.14567872603586887,0.4719774273345701
Alabama,2020-07-17,0.2426997245179063,0.3998304725577453
Alabama,2020-07-18,0.24404761904761904,0.2273809523809524
Alabama,2020-07-19,0.1024242424242424,0.42122895622895623
Alabama,2020-07-20,0.24772727272727274,0.4295454545454545
Alabama,2020-07-21,0.02946428571428571,0.4614718614718614
Alabama,2020-07-22,0.016414141414141412,0.4027777777777778
Alabama,2020-07-23,0.18743686868686868,0.5125210437710438
Alabama,2020-07-24,0.17199546485260772,0.5679138321995465
Alabama,2020-07-25,0.05115546218487395,0.34096638655462186
Alabama,2020-07-26,0.3055555555555556,0.6499999999999999
Alabama,2020-07-27,0.19675555555555554,0.48168888888888883
Alabama,2020-07-28,0.10370370370370369,0.4976851851851851
Alabama,2020-07-29,0.44000000000000006,0.61
Alabama,2020-07-30,-0.09375,0.5520833333333333
Alabama,2020-07-31,0.12525252525252528,0.5277777777777778
Alabama,2020-08-01,0.15382910740053596,0.47532982890125747
Alabama,2020-08-02,0.3493589743589744,0.6230769230769231
Alabama,2020-08-03,0.09886363636363636,0.5580176767676768
Alabama,2020-08-04,0.02514323911382735,0.49809651133180544
Alabama,2020-08-05,0.12421998291563509,0.45289710289710294
Alabama,2020-08-06,0.010416666666666664,0.4425925925925926
Alabama,2020-08-07,0.13955026455026454,0.6327380952380952
Alabama,2020-08-08,-0.019421487603305778,0.2885281385281386
Alabama,2020-08-09,0.11250000000000002,0.5535714285714286
Alabama,2020-08-10,0.3333333333333333,0.6166666666666667
